"","AlternTouch","AlternPartnr","Intention","Perception","Location"
"285",NA,NA,"Just to act like a bit of a lad",NA,"In a club"
"286",NA,NA,"expression of affection",NA,"laying on his bed"
"287",NA,NA,"Greeting after a long time since we last met",NA,"At a wedding at a Hotel- I did not expect to see hm there."
"288",NA,NA,"Friendly gesture",NA,"When i was at my work sitting on a chair eating"
"289",NA,NA,"To kiss hello in the morning",NA,"In the bedroom when I had got up.  I was standing up my partner came into the bedroom"
"290",NA,NA,"I initiated it to introduce myself to make it courteous.",NA,"I was in the pub sitting down with friends when we were introduced by a friends."
"291",NA,NA,"To be friendly",NA,"In the lunch room at work."
"292",NA,NA,"Probably just to be friendly",NA,"Sitting in a cafe"
"293",NA,NA,"to express affection",NA,"in my back garden, giving a cup of coffee to the workman painting my garden fence"
"294",NA,NA,"Flirting",NA,"We was at a bar with a group of his friends"
"295",NA,NA,"Perhaps to connect and share commonality",NA,"standing in the kitchen looking out at the garden"
"296",NA,NA,"To say thank you",NA,"In a car as the other person was leaving"
"297",NA,NA,"To stop me buying a drink",NA,"In a local pub"
"298",NA,NA,"to get closer",NA,"while working on the street"
"299",NA,NA,"to congratulate on winning",NA,"on a football pitch."
"300",NA,NA,"To feel me up.",NA,"I went to visit a “lonely “  elderly neighbour"
