NR	Created	Modified		What is your Prolific ID?	Please indicate the type of touch you received by selecting the corresponding field, or by entering an alternative answer.	Other (please specify)	Who was the interaction partner in this touch experience?	Other (please specify)	Who took the initiative?	What was the (presumed) intention of the touch?	Why was the touch experience negative?	Click the picture that best describes your current relationship with the interaction partner (i.e., other).												Using your own words, give a short description of the location and situation in which the touch occurred (e.g., “sitting on a bench in the bus”):	That I was successfully completing difficult tasks and projects.	That I was experiencing new sensations and activities.	A sense of contact with people who care for me, and whom I care for.	That I was &#34;becoming who I really am.&#34;	That my life was structured and predictable.	That I was a person whose advice others seek out and follow.	That my choices were based on my true interests and values.	That I had many positive qualities.	Close and connected with other people who are important to me.	Intense physical pleasure and enjoyment.	That I got enough exercise and was in excellent physical condition.	That I was taking on and mastering hard challenges.	A sense of deeper purpose in life.	Glad that I have a comfortable set of routines and habits.	A strong sense of self-respect.	That I strongly influenced others&#39; beliefs and behavior.	That my body was getting just what it needed.	Free to do things my own way.	Quite satisfied with who I am.	That I had found new sources and types of stimulation for myself.	Safe from threats and uncertainties.	A strong sense of physical well-being.	Very capable in what I did.	That my choices expressed my &#34;true self.&#34;	A deeper understanding of myself and my place in the universe.	That I had strong impact on what other people did.	A strong sense of intimacy with the people I spent time with.	Interested	Distressed	Excited	Upset	Strong	Guilty	Scared	Hostile	Enthusiastic	Proud	Irritable	Alert	Ashamed	Inspired	Nervous	Determined	Attentive	Jittery	Active	Afraid	Age:	Gender:	Gender (if you prefer to type):	Elapsed time
21583294	10.06.2022 14:07	10.06.2022 14:07	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5f1594305688f5654fe92691	Hand on the shoulder		Partner		The interaction partner mainly took the initiative	To call for attention and to talk	Because I wanted to leave and I was forced to stay and talk although I was annoyed and needed time	......	8	6	5	5	8	10	7	Not applicable	7		10	Standing in our bedroom	Quite a bit	Not at all	Very much	Quite a bit	Not at all	Not at all	Quite a bit	Quite a bit	Very much	Not at all	Not at all	Moderately	Very much	Not at all	Quite a bit	Moderately	Not at all	Moderately	Quite a bit	Not at all	A little	Not at all	Moderately	Very much	Moderately	Very much	A little	Moderately (3)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	A little (2)	Not at all (1)	Not at all (1)	Extremely (5)	Not at all (1)	Moderately (3)	Moderately (3)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	Moderately (3)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	25	Female		10 minutes 35 seconds
21583297	10.06.2022 14:08	10.06.2022 14:08	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	6294eb3eb0bce4251fd50e16	Hand on the shoulder		Colleague		The interaction partner mainly took the initiative	Friendly	I don't feel comfortable with shoulder touch	.	3	3	2	1	2	4	5		3		2	Sitting on smoking area in the university campus	Moderately	Not at all	Not at all	Moderately	Moderately	Very much	Quite a bit	Quite a bit	Quite a bit	Not at all	A little	Moderately	A little	Not at all	Quite a bit	Quite a bit	Moderately	Very much	Quite a bit	Quite a bit	Moderately	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Moderately (3)	Extremely (5)	Extremely (5)	Moderately (3)	A little (2)	Extremely (5)	Extremely (5)	A little (2)	A little (2)	Extremely (5)	Not at all (1)	31	Male		8 minutes 11 seconds
21583306	10.06.2022 14:08	10.06.2022 14:08	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5e80d768bbee670009874c22	Hand on the shoulder		Acquaintance		The interaction partner mainly took the initiative	Greeting	It was awkward	..	8	4	3	3	2	6	1	Not applicable	2		7	It was in a cafe standing up ready to get a coffee and it was a greeting	Moderately	Not at all	Not at all	Not at all	Not at all	A little	Quite a bit	Moderately	Quite a bit	A little	Quite a bit	Moderately	Quite a bit	Quite a bit	Moderately	A little	Quite a bit	Moderately	Quite a bit	Moderately	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Moderately	Moderately	Not at all	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	21	Male	Male	6 minutes 43 seconds
21583309	10.06.2022 14:09	10.06.2022 14:09	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5ec80766778e080d25faf17e		getting slapped	Partner	one night stand	The interaction partner mainly took the initiative	for pleasure? during intercourse	it hurt and i felt like an 'object', ruined the whole 'intimacy' of sex	......	1	1	10	1	1	2	10		10		1	in my room, on my bed	Not at all	Quite a bit	Not at all	Not at all	Not at all	Not at all	Moderately	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Quite a bit	Not at all	Not at all	A little	A little	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all (1)	A little (2)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	20	Female		9 minutes 50 seconds
21583314	10.06.2022 14:09	10.06.2022 14:09	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5c269f02f7a2340001415b1b	Caress		Colleague		The interaction partner mainly took the initiative	Friendly	Quite firm and not gentle	.	2	5	7	4	3	5	6	Not applicable	5		2	In the workplace, office environment	Not at all	Not at all	Not at all	Not at all	A little	A little	Moderately	Quite a bit	Quite a bit	A little	Moderately	A little	A little	Moderately	Moderately	Not at all	Not at all	Moderately	A little	Not at all	Moderately	A little	A little	A little	A little	A little	A little	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	A little (2)	28	Female		9 minutes 1 second
21583346	10.06.2022 14:12	10.06.2022 14:12	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	593b5b0e6c168c000177899a	Hand on the shoulder		Colleague		The interaction partner mainly took the initiative	A sign of friendliness	I did not consider the person close enough to me to touch me in that way	.	4	3	6	2	2	5	6	Not applicable	6		3	In office at work, standing near the doorway during a group discussion	A little	A little	Quite a bit	Quite a bit	Moderately	Quite a bit	Very much	Quite a bit	Quite a bit	Moderately	A little	Moderately	Very much	Moderately	Quite a bit	Quite a bit	Moderately	Quite a bit	Quite a bit	Very much	Quite a bit	A little	Moderately	Quite a bit	Very much	Quite a bit	Quite a bit	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Moderately (3)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	32	Male		6 minutes 41 seconds
21583347	10.06.2022 14:12	10.06.2022 14:12	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5eb341797b27a014004a187f		Punch to arm	Colleague		The interaction partner mainly took the initiative	Trying to be funny	Unexpected	.	2	2	8	3	5	2	5	Not applicable	7		0	Standing talking to other people in corridor	A little	Not at all	Not at all	Moderately	Quite a bit	Moderately	Moderately	Moderately	Moderately	Not at all	A little	Moderately	Not at all	Moderately	Quite a bit	A little	A little	Moderately	Quite a bit	A little	Moderately	Moderately	Quite a bit	Moderately	Moderately	A little	Moderately	Quite a bit (4)	Moderately (3)	Not at all (1)	Moderately (3)	Moderately (3)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	40	Male		16 minutes 4 seconds
21583351	10.06.2022 14:12	10.06.2022 14:12	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5f2ae0278a626e3f58647be5	Hand on the shoulder		Family member		The interaction partner mainly took the initiative	I believe it was meant to be a little nudge after a joke was made.	They pressed hard on my shoulder	.	3	2	8	4	2	4	5	Not applicable	8		3	Standing in the kitchen	Moderately	Not at all	A little	Moderately	A little	A little	Quite a bit	Quite a bit	Quite a bit	Quite a bit	A little	A little	A little	Quite a bit	Quite a bit	A little	A little	Moderately	Moderately	A little	Not at all	Not at all	Moderately	Moderately	A little	A little	Quite a bit	A little (2)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	28	Female		16 minutes 13 seconds
21583362	10.06.2022 14:13	10.06.2022 14:13	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	600a3d0529db2c1a52e9a767	Hand on the shoulder		Stranger		The interaction partner mainly took the initiative	To convey friendship	I didn't know the person. Threat	.	2	4	8	4	7	5	6		6		4	I was in a public house stood up and approached	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	A little	Moderately	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	A little	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	A little	Not at all	Not at all	A little	A little	A little (2)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	Moderately (3)	Moderately (3)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	43	Male		6 minutes 23 seconds
21583384	10.06.2022 14:14	10.06.2022 14:14	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	6044af3de4a742515b15c032	Caress		Colleague		The interaction partner mainly took the initiative	Support	It was rather clumsy	.	7	3	3	3	7	6	5		2		2	In a restaurant, having an afternoon lunch	Not at all	Not at all	A little	Not at all	Not at all	Not at all	Not at all	Moderately	Not at all	Not at all	Not at all	A little	Not at all	Not at all	A little	Not at all	Not at all	A little	A little	Not at all	A little	Not at all	A little	Not at all	Not at all	Moderately	Not at all	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	50	Male		11 minutes 14 seconds
21583415	10.06.2022 14:17	10.06.2022 14:17	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	59c22487cb3cd4000101d12c	Hug		Stranger		The interaction partner mainly took the initiative	Saying hello	Fear of contracting covid	.	7	7	8	2	2	6	6		8		0	I was at the door going into a friends house	Not at all	Moderately	A little	Moderately	Not at all	Not at all	A little	Moderately	Quite a bit	Moderately	Not at all	Not at all	A little	Quite a bit	Quite a bit	Not at all	Quite a bit	A little	A little	A little	Moderately	Moderately	Moderately	Very much	Not at all	Not at all	Moderately	Extremely (5)	Not at all (1)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Extremely (5)	Not at all (1)	Quite a bit (4)	A little (2)	Quite a bit (4)	A little (2)	Quite a bit (4)	Quite a bit (4)	A little (2)	A little (2)	Not at all (1)	38	Male		7 minutes 9 seconds
21583432	10.06.2022 14:18	10.06.2022 14:18	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5bf747cbacc2260001f99884	Handshake		Acquaintance		We both took the initiative	greeting	i felt unwell	.	3	6	4	4	5	6	6		5		5	at a family reunion	Moderately	Moderately	A little	Moderately	Moderately	Moderately	A little	Moderately	A little	Moderately	Quite a bit	A little	Moderately	Moderately	A little	Moderately	A little	Moderately	Moderately	A little	Moderately	Moderately	Moderately	Moderately	Quite a bit	Moderately	Moderately	A little (2)	Moderately (3)	Moderately (3)	Moderately (3)	Moderately (3)	Moderately (3)	Moderately (3)	Moderately (3)	Moderately (3)	A little (2)	Moderately (3)	Moderately (3)	Moderately (3)	A little (2)	Moderately (3)	Moderately (3)	Moderately (3)	Moderately (3)	Moderately (3)	Moderately (3)	40	Male	male	8 minutes 53 seconds
21583453	10.06.2022 14:19	10.06.2022 14:19	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	61066f29c3f567887029a249	Hand on the shoulder		Colleague		The interaction partner mainly took the initiative	Showing solidarity at work	I wasn't expecting it to happen	..	7	5	8	3	4	7	6	Not applicable	8		0	at my desk at work	A little	Not at all	A little	Not at all	A little	Not at all	Not at all	Quite a bit	A little	Not at all	A little	Quite a bit	Not at all	Quite a bit	Moderately	Moderately	Not at all	Moderately	A little	Not at all	Moderately	Moderately	A little	A little	A little	Moderately	A little	A little (2)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Quite a bit (4)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Moderately (3)	A little (2)	33	Male	Male	6 minutes 2 seconds
21583461	10.06.2022 14:20	10.06.2022 14:20	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	610015973be716a2cc07f6a0		Punch	Stranger		The interaction partner mainly took the initiative	To steal my stuff	Because i got sucker punched in the face by somebody stealing my stuff	.	7	4	2	3	5	6	6		2		7	Walking home from a night out early in the morning	Moderately	Quite a bit	Quite a bit	A little	Quite a bit	Moderately	Quite a bit	Very much	Quite a bit	Very much	A little	Very much	A little	Quite a bit	Not at all	Quite a bit	Quite a bit	Moderately	Quite a bit	Very much	Very much	A little	Quite a bit	Moderately	Moderately	Quite a bit	A little	Not at all (1)	Extremely (5)	A little (2)	Extremely (5)	A little (2)	Not at all (1)	Extremely (5)	Extremely (5)	A little (2)	Not at all (1)	Extremely (5)	Quite a bit (4)	Extremely (5)	Extremely (5)	A little (2)	Extremely (5)	Moderately (3)	Extremely (5)	Moderately (3)	Extremely (5)	24	Male	Male	4 minutes 9 seconds
21583475	10.06.2022 14:21	10.06.2022 14:21	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5c478dae685da800014c8119		Being barged past in a club	Stranger		The interaction partner mainly took the initiative	to get past me as quickly as possible	if they asked I would have happily moved, there was no need to almost knock me over.	.	3	3	7	2	1	2	1	Not applicable	10		0	I was just dancing in a club	Not at all	Quite a bit	Moderately	A little	Not at all	A little	Moderately	A little	A little	Not at all	A little	A little	Moderately	Not at all	A little	Not at all	A little	Quite a bit	A little	Moderately	A little	A little	Not at all	A little	Not at all	Not at all	Moderately	A little (2)	Moderately (3)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	Moderately (3)	Quite a bit (4)	Not at all (1)	Not at all (1)	Moderately (3)	A little (2)	Not at all (1)	Not at all (1)	Moderately (3)	A little (2)	A little (2)	Moderately (3)	A little (2)	Moderately (3)	25	Male		9 minutes 42 seconds
21583483	10.06.2022 14:21	10.06.2022 14:21	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5b530aa34a062f00015e2f7c	Handshake		Stranger		The interaction partner mainly took the initiative	To greet each other	Didn’t really want to shake hands	.	6	7	7	7	4	6	6		4		6	In a work environment	Not at all	Not at all	Not at all	Not at all	Not at all	Moderately	A little	A little	Quite a bit	Not at all	A little	A little	A little	Not at all	Moderately	A little	A little	Quite a bit	Moderately	A little	Moderately	A little	Moderately	Moderately	A little	Moderately	Moderately	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Moderately (3)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	40	Male		5 minutes 14 seconds
21583523	10.06.2022 14:22	10.06.2022 14:22	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	614dff354415cb0b2508ea79	Hand on the shoulder		Stranger		The interaction partner mainly took the initiative	Having a laugh	I didnt want to be physically close to someone I didn't know	.	4	3	7	3	2	4	6	Not applicable	6		3	At a wedding, near the bar	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	Moderately (3)	Moderately (3)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	29	Male		5 minutes 11 seconds
21583608	10.06.2022 14:23	10.06.2022 14:23	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	6234e1a56439618b2b6b4fef	Hand on the shoulder		Stranger		The interaction partner mainly took the initiative	Friendliness I suppose	Wasn’t wanted or expected	.	3	3	5	2	5	1	10	Not applicable	5		0	In the street where other people were standing	Not at all	Not at all	Moderately	Not at all	Moderately	Moderately	Moderately	Moderately	Moderately	Moderately	Moderately	Not at all	Not at all	Not at all	Moderately	Not at all	Not at all	Not at all	Moderately	Not at all	Moderately	Moderately	Moderately	Moderately	Not at all	Not at all	Not at all	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Quite a bit (4)	Extremely (5)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	51	Male		7 minutes 28 seconds
21583660	10.06.2022 14:24	10.06.2022 14:24	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	62029babef1cb18a1337c899	Hug		Partner		We both took the initiative	affection	adjertated	..	9	7	9	10	9	9	8	Not applicable		Not applicable	2	sitting on the bench at the park	Moderately	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Moderately	Moderately	Moderately	Quite a bit	A little	Moderately	Quite a bit	Moderately	Moderately	Moderately	Quite a bit	Very much	A little	Quite a bit	Moderately	Moderately	Quite a bit	Moderately	Moderately	Moderately	Quite a bit	A little	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Quite a bit (4)	A little (2)	A little (2)	Not at all (1)	Moderately (3)	Not at all (1)	Moderately (3)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	25	Male		8 minutes 25 seconds
21583735	10.06.2022 14:25	10.06.2022 14:25	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	629f56ce57fed40a48d5567e	Handshake		Colleague		The interaction partner mainly took the initiative	Handshake - general greeting	I dislike handshakes due to covid risks	..	3	2	9	1	6	4	5	Not applicable	5	Not applicable	5	At at place of work	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	A little	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	A little	Not at all	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	Quite a bit (4)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	Extremely (5)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	35	Male		9 minutes 1 second
21583738	10.06.2022 14:26	10.06.2022 14:26	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5eb13515a571a301e2edb53b	Hug		Acquaintance		The interaction partner mainly took the initiative	Die sky goodbye hug	I did not want this to happen I barely knew the person	..	6	2	2	3	3	2	5	Not applicable		Not applicable	0	I was working and had nipped in to a clients business I spent around 15 minutes there talking to her whilst she was serving customers at the end as I’ve gone to leave she’s hugged me goodbye	Not at all	Not at all	A little	Not at all	A little	Not at all	A little	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	A little	A little	Not at all	Not at all	Not at all	Moderately	Not at all	Moderately	Quite a bit	Moderately	Not at all	Not at all	Not at all	Not at all	A little (2)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Moderately (3)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	28	Male		14 minutes 53 seconds
21583754	10.06.2022 14:28	10.06.2022 14:28	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5bbdb4030cb04c00015071d1	Kiss		Acquaintance		We both took the initiative	Affection	Doubt whether touch was acceptable	.....	10	10	2	9	7	8	3		3		8	Having drink in local pub, sat at table, outside.	Not at all	Quite a bit	Quite a bit	Moderately	A little	Moderately	Moderately	Quite a bit	Moderately	Quite a bit	A little	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Moderately	A little	Moderately	A little	Moderately	Not at all	Moderately	Quite a bit	Moderately	Quite a bit	Moderately	Quite a bit	Quite a bit (4)	A little (2)	Extremely (5)	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	Extremely (5)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	A little (2)	Extremely (5)	Moderately (3)	Extremely (5)	A little (2)	46	Male		12 minutes
21584250	10.06.2022 15:08	10.06.2022 15:08	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	60d88215cb2f2655d0e4c663	Caress		Partner		The interaction partner mainly took the initiative	To fulfil some sexual gratification on their part	It was unwanted and I wasn't happy about that person's behaviour that day	.....	7	2	3	2	2	2	5	Not applicable	2		1	Sitting on the sofa in my house	Not at all	Not at all	Not at all	Not at all	A little	Quite a bit	Very much	Not at all	A little	Not at all	Not at all	Not at all	Not at all	Not at all	Quite a bit	Not at all	Not at all	A little	Not at all	Not at all	Not at all	Not at all	Not at all	Quite a bit	Not at all	Not at all	Not at all	Not at all (1)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Quite a bit (4)	Extremely (5)	Not at all (1)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	Moderately (3)	Not at all (1)	Quite a bit (4)	34	Female		7 minutes 50 seconds
21584386	10.06.2022 15:21	10.06.2022 15:21	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	62a334f5925f2032806264d9	Handshake		Acquaintance		We both took the initiative	A greeting	Always over squeezing	.	9	9	9	9	1	5	10	Not applicable		Not applicable	10	Meeting at a pub	Moderately	Not at all	Not at all	Not at all	A little	Moderately	Moderately	Moderately	Quite a bit	Moderately	Moderately	Moderately	Quite a bit	Moderately	Quite a bit	Moderately	Moderately	Moderately	Quite a bit	Moderately	Moderately	Moderately	Moderately	A little	Moderately	A little	Moderately	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Quite a bit (4)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Moderately (3)	A little (2)	Moderately (3)	Not at all (1)	27	Male		18 minutes 28 seconds
21597000	11.06.2022 19:43	11.06.2022 19:43	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5e91c551019f08016f6dc7fa	Hug		Acquaintance		The interaction partner mainly took the initiative	thanks for a meal	new acquaintance	.	8	6	6	4	4	7	6	Not applicable	7		4	out door restaurant	Not at all	A little	A little	Not at all	Not at all	A little	Moderately	Moderately	A little	A little	A little	Not at all	A little	A little	Moderately	A little	A little	A little	Moderately	Moderately	A little	A little	A little	A little	Not at all	A little	Not at all	Moderately (3)	Not at all (1)	A little (2)	Moderately (3)	Moderately (3)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	56	Male		6 minutes 7 seconds
21597009	11.06.2022 19:45	11.06.2022 19:45	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	61656042f505fd7fa53e8628	Caress		Colleague		The interaction partner mainly took the initiative	to get my attention	because it was not normal interaction with us	......	4	4	4	3	4	4	4	Not applicable	4		2	work	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	A little	A little	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	53	Female	female	9 minutes 11 seconds
