NR	Created	Modified		What is your Prolific ID?	Please indicate the type of touch you received by selecting the corresponding field, or by entering an alternative answer.	Other (please specify)	Who was the interaction partner in this touch experience?	Other (please specify)	Who took the initiative?	What was the (presumed) intention of the touch?	Why was the touch experience positive?	Click the picture that best describes your current relationship with the interaction partner (i.e., other).												Using your own words, give a short description of the location and situation in which the touch occurred (e.g., “sitting on a bench in the bus”):	That I was successfully completing difficult tasks and projects.	That I was experiencing new sensations and activities.	A sense of contact with people who care for me, and whom I care for.	That I was &#34;becoming who I really am.&#34;	That my life was structured and predictable.	That I was a person whose advice others seek out and follow.	That my choices were based on my true interests and values.	That I had many positive qualities.	Close and connected with other people who are important to me.	Intense physical pleasure and enjoyment.	That I got enough exercise and was in excellent physical condition.	That I was taking on and mastering hard challenges.	A sense of deeper purpose in life.	Glad that I have a comfortable set of routines and habits.	A strong sense of self-respect.	That I strongly influenced others&#39; beliefs and behavior.	That my body was getting just what it needed.	Free to do things my own way.	Quite satisfied with who I am.	That I had found new sources and types of stimulation for myself.	Safe from threats and uncertainties.	A strong sense of physical well-being.	Very capable in what I did.	That my choices expressed my &#34;true self.&#34;	A deeper understanding of myself and my place in the universe.	That I had strong impact on what other people did.	A strong sense of intimacy with the people I spent time with.	Interested	Distressed	Excited	Upset	Strong	Guilty	Scared	Hostile	Enthusiastic	Proud	Irritable	Alert	Ashamed	Inspired	Nervous	Determined	Attentive	Jittery	Active	Afraid	Age:	Gender:	Gender (if you prefer to type):	Elapsed time
21563336	09.06.2022 13:12	09.06.2022 13:12	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	608fac494f8ec7f3e9e7ee97	Hug		Family member		The interaction partner mainly took the initiative	hug	hug from child	......	10	10	10	10	8	10	10		3		7	just before bed time routine	Not at all	Not at all	Very much	Quite a bit	Very much	Very much	Very much	Very much	Very much	Very much	Moderately	Moderately	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Extremely (5)	Not at all (1)	Moderately (3)	Not at all (1)	Extremely (5)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Extremely (5)	Not at all (1)	Quite a bit (4)	Not at all (1)	Extremely (5)	Not at all (1)	Not at all (1)	Extremely (5)	Not at all (1)	Not at all (1)	Not at all (1)	37	Female		9 minutes 29 seconds
21563416	09.06.2022 13:15	09.06.2022 13:15	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	563f6ad2cbd4c60011dc9515	Hug		Colleague		We both took the initiative	Reassurance	The way we both needed that connection, was because of a upsetting nature, the hug helped.	....	9	10	10	10	10	10	8		9		6	In the police station after an arrest	Very much	Quite a bit	Quite a bit	Quite a bit	Moderately	Quite a bit	Very much	Very much	Very much	Quite a bit	Quite a bit	Quite a bit	Moderately	Quite a bit	Very much	A little	Quite a bit	Quite a bit	Moderately	Moderately	A little	Quite a bit	Very much	Quite a bit	A little	Quite a bit	Very much	Extremely (5)	Not at all (1)	Moderately (3)	Not at all (1)	Extremely (5)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Moderately (3)	Not at all (1)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	A little (2)	Quite a bit (4)	Extremely (5)	Not at all (1)	Quite a bit (4)	Not at all (1)	60	Female		12 minutes 36 seconds
21563450	09.06.2022 13:16	09.06.2022 13:16	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5b24f8f08ecf3f000161599f	Hug		Partner		We both took the initiative	To express joy	Because it followed an accomplishment and the hug expressed  the conclusion of a chapter in our lives	......	9	10	8	10	6	10	1	Not applicable		Not applicable	10	In the parking lot next to our car	Moderately	Moderately	Very much	A little	Moderately	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Moderately	Not at all	A little	Quite a bit	A little	Moderately	Moderately	Moderately	A little	Quite a bit	Not at all	Quite a bit	Moderately	Moderately	A little	Moderately	Quite a bit	Very much	Extremely (5)	Not at all (1)	Extremely (5)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Extremely (5)	Extremely (5)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	A little (2)	Moderately (3)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	32	Female		14 minutes 2 seconds
21565576	09.06.2022 14:37	09.06.2022 14:37	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5cf2585b4f87b000153dee72	Caress		Friend		The interaction partner mainly took the initiative	Showing affection and flirting	Because I welcomed the affection	....	10	10	7	10	5	8	8		4		5	Sat in a beer garden	Not at all	A little	Quite a bit	Not at all	A little	Not at all	Moderately	Moderately	Quite a bit	Quite a bit	Not at all	Not at all	A little	Not at all	A little	A little	Moderately	A little	Moderately	Moderately	Moderately	Quite a bit	A little	A little	A little	A little	Quite a bit	Extremely (5)	Not at all (1)	Extremely (5)	Not at all (1)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	Extremely (5)	A little (2)	Not at all (1)	Quite a bit (4)	Not at all (1)	A little (2)	A little (2)	A little (2)	Moderately (3)	Not at all (1)	A little (2)	A little (2)	39	Female		7 minutes 27 seconds
21565704	09.06.2022 14:44	09.06.2022 14:44	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	6137753896c9b6b5813a2432		Touch on my upper arm	Acquaintance		We both took the initiative	To make human contact ost covid with an individual not seen for a long time	yes	.	10	10	6	10	2	9	10		5		2	It was in a restaurant, I was stood up and leaving towards the exit, the wait came to talk to me and it was then the touch happened	Not at all	A little	A little	Not at all	Not at all	Not at all	A little	A little	A little	Not at all	Not at all	Not at all	Quite a bit	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	A little	A little	Not at all	A little	A little	Not at all	A little	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	A little (2)	A little (2)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	53	Female		13 minutes 57 seconds
21566172	09.06.2022 15:07	09.06.2022 15:07	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	57fb3b029ff6120001a129c1	Hug		Partner		We both took the initiative	Closeness	We haven't had the time recently to just hug for a little while	......	9	9	8	10	6	9	9	Not applicable	3		3	Standing in the kitchen whilst making dinner.	Quite a bit	A little	Very much	Quite a bit	Moderately	Not at all	Moderately	Quite a bit	Very much	Moderately	A little	Not at all	Quite a bit	Moderately	Quite a bit	Moderately	Very much	Moderately	Moderately	Moderately	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Not at all	Moderately	Very much	Extremely (5)	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	43	Male		6 minutes 30 seconds
21566195	09.06.2022 15:08	09.06.2022 15:08	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5f0bb0a18bf36931d16e58cc	Caress		Partner		The interaction partner mainly took the initiative	To make me feel better	It made me feel better when I was ill	....	10	10	7	10	2	9	10	Not applicable	1		2	In bed on my arm while I was feeling ill	A little	A little	A little	Not at all	Moderately	Not at all	A little	Moderately	Moderately	A little	A little	A little	A little	Quite a bit	A little	Not at all	Moderately	Moderately	Moderately	Moderately	Quite a bit	Quite a bit	Quite a bit	Quite a bit	A little	A little	Moderately	Quite a bit (4)	Not at all (1)	Moderately (3)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	29	Female		5 minutes 21 seconds
21566245	09.06.2022 15:11	09.06.2022 15:11	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	60dc73f3ffca99c7c0bd4db9	Hug		Colleague		We both took the initiative	To greet each other	We had never met before in person and it was so good to finally see each other without a screen in front of us	....	10	10	5	10	4	10	5	Not applicable		Not applicable	10	In a meeting room at a team meeting	Not at all	Moderately	Quite a bit	Not at all	Not at all	Moderately	Moderately	Moderately	Very much	Moderately	Not at all	Moderately	Not at all	A little	Moderately	Not at all	Very much	Quite a bit	Quite a bit	A little	Moderately	Very much	Moderately	Very much	Not at all	Moderately	Moderately	Extremely (5)	A little (2)	Extremely (5)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Extremely (5)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	A little (2)	Moderately (3)	Quite a bit (4)	A little (2)	Not at all (1)	Not at all (1)	36	Female		6 minutes 2 seconds
21566249	09.06.2022 15:11	09.06.2022 15:11	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	60cfbfd8b5865f350977409d	Hug		Friend		The interaction partner mainly took the initiative	to comfort me	because it made me feel safe	..	6	2	3	3	4	4	5		4		4	in the kitchen after a deep chat	Quite a bit	Moderately	Very much	Quite a bit	Quite a bit	Very much	Very much	Very much	Very much	Quite a bit	Very much	Moderately	Quite a bit	Quite a bit	Moderately	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Not at all	Very much	Very much	Very much	Very much	Not at all	Very much	Quite a bit	Moderately (3)	A little (2)	A little (2)	Not at all (1)	Quite a bit (4)	Moderately (3)	A little (2)	Not at all (1)	Moderately (3)	Quite a bit (4)	A little (2)	Quite a bit (4)	Moderately (3)	Moderately (3)	Quite a bit (4)	A little (2)	Quite a bit (4)	A little (2)	Quite a bit (4)	A little (2)	19	Female		3 minutes 42 seconds
21566284	09.06.2022 15:12	09.06.2022 15:12	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5bf27ae0d79b630001aa9a5c	Hand on the shoulder		Colleague		The interaction partner mainly took the initiative	Support	Emotionally needed	..	5	8	8	7	7	7	7		6		6	At work, sat in the staff room	Quite a bit	Quite a bit	Moderately	Quite a bit	Quite a bit	Quite a bit	Moderately	Quite a bit	Quite a bit	Quite a bit	Moderately	Moderately	Quite a bit	Quite a bit	Quite a bit	Moderately	Quite a bit	Moderately	Quite a bit	Quite a bit	Moderately	Moderately	Moderately	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Extremely (5)	A little (2)	Moderately (3)	A little (2)	Quite a bit (4)	Moderately (3)	Quite a bit (4)	Moderately (3)	A little (2)	Quite a bit (4)	Moderately (3)	Quite a bit (4)	A little (2)	Moderately (3)	Quite a bit (4)	Quite a bit (4)	Moderately (3)	Moderately (3)	A little (2)	Quite a bit (4)	27	Female		5 minutes 33 seconds
21566344	09.06.2022 15:14	09.06.2022 15:14	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5c4d6b17ad4660000191441e	Hand on the shoulder		Friend		The interaction partner mainly took the initiative	To convey support and understanding	It was the first time friend had reached out to me in that way	..	8	8	6	9	3	8	8		8		5	Standing up in a local park	Moderately	A little	Quite a bit	Not at all	Not at all	A little	Quite a bit	Moderately	Moderately	A little	Not at all	A little	Not at all	Moderately	A little	A little	A little	Not at all	A little	Moderately	A little	A little	Moderately	A little	Not at all	A little	Moderately	Moderately (3)	Not at all (1)	A little (2)	A little (2)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	Moderately (3)	A little (2)	Not at all (1)	Moderately (3)	Not at all (1)	Quite a bit (4)	A little (2)	Moderately (3)	Moderately (3)	A little (2)	Moderately (3)	A little (2)	44	Female		7 minutes 1 second
21566380	09.06.2022 15:14	09.06.2022 15:14	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5c0e81b5be4cbc0001c914e8	Handshake		Partner		I mainly took the initiative	To be connected	Because it felt great	....	8	8	8	7	1	9	4		6		9	We were just laying down on the bed watching tv	A little	Not at all	Quite a bit	Moderately	A little	Quite a bit	Quite a bit	Moderately	Quite a bit	Very much	A little	A little	Very much	A little	A little	Quite a bit	Not at all	Moderately	Quite a bit	Quite a bit	Quite a bit	Quite a bit	A little	Moderately	Moderately	Quite a bit	Very much	A little (2)	Moderately (3)	Not at all (1)	Not at all (1)	Moderately (3)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Moderately (3)	Not at all (1)	27	Male	Male	5 minutes 30 seconds
21566401	09.06.2022 15:15	09.06.2022 15:15	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	615a0d15f3cdd42756a26c9d	Hug		Friend		The interaction partner mainly took the initiative	to comfort me, I was crying	I felt safe and comforted by my friend's hug	...	7	7	8	7	4	10	5	Not applicable		Not applicable	5	on the road, near our houses; she was walking her teenage children home, I was out for a walk during a break at work; sunny day	Not at all	Not at all	A little	A little	Moderately	Not at all	Not at all	Not at all	A little	Not at all	Not at all	Not at all	Not at all	Not at all	A little	Not at all	Not at all	Not at all	A little	Not at all	Quite a bit	A little	Not at all	Not at all	Not at all	Not at all	Not at all	Moderately (3)	Extremely (5)	Not at all (1)	Extremely (5)	A little (2)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Quite a bit (4)	Not at all (1)	Extremely (5)	Moderately (3)	Moderately (3)	Extremely (5)	Moderately (3)	Quite a bit (4)	36	Non-binary		6 minutes
21566415	09.06.2022 15:15	09.06.2022 15:15	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	56bb5211724769000db74a25	Hug		Partner		The interaction partner mainly took the initiative	Show affection	Because it was a moment of peace and togetherness that we hadn't experienced in a long time with a new baby as well as a 6 year old and family visiting	......	10	10	6	10	9	10	10		5		8	Lying in bed together falling asleep	A little	Not at all	Very much	A little	Very much	Not at all	Very much	Very much	Very much	A little	A little	Not at all	Moderately	Quite a bit	Very much	Not at all	Moderately	Quite a bit	Very much	A little	Very much	Very much	Very much	Very much	Quite a bit	Not at all	Very much	Extremely (5)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	35	Female		8 minutes 14 seconds
21566419	09.06.2022 15:15	09.06.2022 15:15	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	6271745a34492fcddff68879	Hug		Partner		The interaction partner mainly took the initiative	To provide comfort and reassurance	Yes	......	9	9	9	10	6	10	6	Not applicable	2		7	In the living room on the sofa	Not at all	Not at all	Quite a bit	Not at all	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Very much	A little	A little	Moderately	Quite a bit	Very much	Very much	Quite a bit	Moderately	Quite a bit	Very much	Not at all	Very much	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Very much	Quite a bit (4)	A little (2)	Not at all (1)	A little (2)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	42	Female		5 minutes 18 seconds
21566450	09.06.2022 15:15	09.06.2022 15:15	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5cd9cdd636e33f00194cb6d6	Hug		Partner		I mainly took the initiative	To tell them I love them	Because I was leaving for work and enjoy hugging my partner	..	10	10	9	9	9	8	7		1		10	In the bedroom as I leave for work	Very much	Very much	Very much	Quite a bit	Quite a bit	Very much	Very much	Quite a bit	Very much	Quite a bit	Very much	Quite a bit	Very much	Quite a bit	Very much	Very much	Quite a bit	Very much	Very much	Quite a bit	Moderately	Very much	Very much	Quite a bit	Moderately	Quite a bit	Very much	Extremely (5)	Not at all (1)	Extremely (5)	A little (2)	Extremely (5)	Moderately (3)	Extremely (5)	A little (2)	Extremely (5)	Extremely (5)	Not at all (1)	Extremely (5)	Not at all (1)	Extremely (5)	A little (2)	Extremely (5)	Extremely (5)	Not at all (1)	Quite a bit (4)	Moderately (3)	27	Male	Male	5 minutes 22 seconds
21566554	09.06.2022 15:16	09.06.2022 15:16	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5ba4881f4c6b920001266c85	Hug		Partner		The interaction partner mainly took the initiative	To ratify our love for each other	It was unexpected	......	9	10	10	9	8	9	9		2		1	Standing at the back door of the garage looking onto the garden	Not at all	Not at all	Very much	A little	A little	Moderately	Moderately	Moderately	Very much	Quite a bit	Not at all	Not at all	Not at all	Quite a bit	Moderately	Moderately	Very much	Quite a bit	Very much	A little	Very much	Quite a bit	Moderately	Moderately	Moderately	A little	Quite a bit	Extremely (5)	Not at all (1)	A little (2)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	56	Male		8 minutes 41 seconds
21566577	09.06.2022 15:16	09.06.2022 15:16	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	58577840af007f0001caa9dd	Hug		Family member		We both took the initiative	Greeting	My grandchild was happy to see me	......	10	10	8	10	6	10	10		6		6	In my living room at home	Not at all	Not at all	Very much	Very much	Moderately	Quite a bit	Very much	Very much	Very much	Quite a bit	Not at all	Not at all	Moderately	A little	Very much	Very much	Moderately	Moderately	Quite a bit	Not at all	Very much	Very much	Moderately	Moderately	Moderately	Quite a bit	Moderately	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Extremely (5)	Not at all (1)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	57	Female		6 minutes 48 seconds
21566608	09.06.2022 15:16	09.06.2022 15:16	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	614842d4224d6e3f951672c2	Hug		Partner		We both took the initiative	To say hello and welcome partner home from work	Because we hugged for an extended period of time than normal and it was relaxing	.....	9	10	5	10	9	9	10	Not applicable	0		3	We were standing in our kitchen	Not at all	Not at all	Very much	Not at all	A little	Not at all	Quite a bit	Quite a bit	Quite a bit	Moderately	Not at all	Not at all	Moderately	Quite a bit	Not at all	Not at all	Very much	Not at all	Quite a bit	Not at all	Very much	Very much	Not at all	Moderately	Not at all	Not at all	Quite a bit	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	27	Female		5 minutes 4 seconds
21566609	09.06.2022 15:16	09.06.2022 15:16	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	628781515f29a0394e23b15b	Hug		Partner		The interaction partner mainly took the initiative	Display of affection	It was culmination of a good moment, and as a result very positive memery	......	8	9	6	8	7	10	7		3		9	Sat with my partner in our home after a very funny moment	Quite a bit	Moderately	Very much	Quite a bit	Very much	Quite a bit	Very much	Very much	Very much	Quite a bit	Very much	Moderately	Very much	Quite a bit	Very much	Quite a bit	Very much	Quite a bit	Very much	Quite a bit	Quite a bit	Very much	Very much	Quite a bit	Very much	Very much	Very much	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	Extremely (5)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Extremely (5)	A little (2)	A little (2)	Not at all (1)	Quite a bit (4)	Not at all (1)	Extremely (5)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	30	Male		5 minutes 1 second
21566615	09.06.2022 15:16	09.06.2022 15:16	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5d5433e27add170018c5f65a	Hug		Family member		The interaction partner mainly took the initiative	reassurance	teenage son who doesn't hug often	...	9	10	9	10	8	10	10	Not applicable	3		2	sitting on the sofa	Not at all	Not at all	Very much	Quite a bit	Moderately	Very much	Quite a bit	Very much	Very much	Quite a bit	Not at all	Not at all	Very much	Moderately	Very much	Very much	Very much	Very much	Very much	Not at all	Very much	Very much	Moderately	Quite a bit	Very much	Quite a bit	Quite a bit	Extremely (5)	Not at all (1)	Not at all (1)	Not at all (1)	Extremely (5)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Extremely (5)	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	Quite a bit (4)	Extremely (5)	Not at all (1)	Moderately (3)	Not at all (1)	47	Female		7 minutes 2 seconds
21566620	09.06.2022 15:17	09.06.2022 15:17	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5b753ceefcb90e00019932c4	Hug		Partner		The interaction partner mainly took the initiative	a hug	it was extremely comforting to be embraced in his arms when i was feeling down	.....	1	10	9	10	8	10	1	Not applicable	2		7	stood in the kitchen whilst waiting for the kettle to boil	Not at all	Moderately	Very much	Moderately	A little	Quite a bit	Quite a bit	Very much	Very much	Very much	Quite a bit	Quite a bit	Quite a bit	Very much	Moderately	A little	Quite a bit	Quite a bit	Very much	Moderately	Very much	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Moderately	Very much	Extremely (5)	Moderately (3)	Quite a bit (4)	Quite a bit (4)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Quite a bit (4)	Moderately (3)	A little (2)	Not at all (1)	31	Female		6 minutes 47 seconds
21566629	09.06.2022 15:17	09.06.2022 15:17	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5ed5742f3d96410f9b7e0c16	Hug		Partner		The interaction partner mainly took the initiative	to comfort	it made me feel happy and contented	......	9	10	9	10	7	10	10	Not applicable	7	Not applicable	10	standing in the front room	A little	A little	Very much	Not at all	A little	Moderately	Moderately	Quite a bit	Very much	Quite a bit	A little	A little	Moderately	Quite a bit	Quite a bit	A little	Quite a bit	Quite a bit	Moderately	Not at all	Quite a bit	Quite a bit	A little	Moderately	Quite a bit	Moderately	Very much	Quite a bit (4)	A little (2)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	A little (2)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Moderately (3)	Moderately (3)	A little (2)	A little (2)	47	Female		4 minutes 54 seconds
21566632	09.06.2022 15:17	09.06.2022 15:17	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5f2d5df22fa9352f3f2c4ca6	Handshake		Acquaintance		The interaction partner mainly took the initiative	greeting	feeling equal	..	4	4	2	2	5	8	6		6		8	in a meeting	Moderately	A little	Moderately	Not at all	A little	A little	Not at all	Not at all	A little	Not at all	Not at all	Not at all	Not at all	A little	A little	Not at all	Not at all	A little	A little	Not at all	A little	A little	A little	Not at all	A little	A little	A little	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Moderately (3)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	A little (2)	34	Female		6 minutes 3 seconds
21566634	09.06.2022 15:17	09.06.2022 15:17	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5c5b50e8fbf35700018c8dde	Hug		Family member		We both took the initiative	To show affection	I just really needed a hug and they knew that	..	8	10	8	9	6	10	10	Not applicable	5		7	We were both sitting on my bed	Not at all	Not at all	Very much	A little	Not at all	Moderately	Moderately	Moderately	Very much	A little	Not at all	A little	A little	A little	Not at all	A little	Moderately	A little	A little	Not at all	A little	A little	A little	A little	A little	A little	Quite a bit	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	23	Female		6 minutes 33 seconds
21566643	09.06.2022 15:18	09.06.2022 15:18	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5f6625babba0d40a310764bc	Hug		Partner		We both took the initiative	show affection	yes	.....	7	10	10	10	8	10	10	Not applicable	2		9	at home, in the kitchen	Very much	Quite a bit	Very much	Moderately	Very much	Very much	Very much	Very much	Very much	Very much	A little	Moderately	Very much	Moderately	Quite a bit	A little	Very much	A little	Very much	Moderately	Very much	Very much	Moderately	Quite a bit	Quite a bit	Quite a bit	Very much	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	A little (2)	Not at all (1)	Extremely (5)	Not at all (1)	Moderately (3)	Not at all (1)	Quite a bit (4)	Extremely (5)	Not at all (1)	Quite a bit (4)	Not at all (1)	51	Female		8 minutes 59 seconds
